global_step,episode,return,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
543,0,20.0,,,,,,,,0.8085832595825195,0.0001
1050,1,60.0,,,,,,,,1.4554672241210938,0.0001
1527,2,100.0,,,,,,,,2.2444262504577637,0.0001
1907,3,20.0,,,,,,,,2.722007989883423,0.0001
2504,4,100.0,,,,,,,,3.469541549682617,0.0001
3089,5,60.0,,,,,,,,4.1983537673950195,0.0001
3496,6,20.0,,,,,,,,4.719337701797485,0.0001
3988,7,40.0,,,,,,,,5.343634128570557,0.0001
4420,8,40.0,,,,,,,,5.885354995727539,0.0001
4942,9,60.0,,,,,,,,6.540312767028809,0.0001
5703,10,200.0,,,,,,,,7.494468688964844,0.0001
6077,11,20.0,,,,,,,,7.972165584564209,0.0001
6429,12,0.0,,,,,,,,8.420292377471924,0.0001
6878,13,60.0,,,,,,,,8.991520404815674,0.0001
7466,14,120.0,,,,,,,,9.743909120559692,0.0001
8071,15,100.0,,,,,,,,10.503547191619873,0.0001
8679,16,140.0,,,,,,,,11.265901565551758,0.0001
9167,17,60.0,,,,,,,,11.879406929016113,0.0001
10140,18,220.0,,,,,,,,13.102023124694824,0.0001
10723,19,100.0,,,,,,,,13.838438749313354,0.0001
11125,20,20.0,,,,,,,,14.335486888885498,0.0001
11706,21,100.0,,,,,,,,15.085829496383667,0.0001
12281,22,80.0,,,,,,,,15.872720718383789,0.0001
12733,23,60.0,,,,,,,,16.43394184112549,0.0001
13233,24,100.0,,,,,,,,17.065947771072388,0.0001
13771,25,120.0,,,,,,,,17.731576442718506,0.0001
14313,26,160.0,,,,,,,,18.39697575569153,0.0001
14786,27,80.0,,,,,,,,18.973376989364624,0.0001
15122,28,0.0,,,,,,,,19.393955945968628,0.0001
15538,29,40.0,,,,,,,,19.903380155563354,0.0001
16417,30,200.0,,,,,,,,21.02809762954712,0.0001
16936,31,80.0,,,,,,,,21.658172130584717,0.0001
17505,32,100.0,,,,,,,,22.35165762901306,0.0001
17947,33,60.0,,,,,,,,22.903811931610107,0.0001
18332,34,40.0,,,,,,,,23.37730383872986,0.0001
18665,35,0.0,,,,,,,,23.788134813308716,0.0001
19042,36,20.0,,,,,,,,24.253594875335693,0.0001
19453,37,60.0,,,,,,,,24.75255846977234,0.0001
19937,38,80.0,,,,,,,,25.34509015083313,0.0001
20344,39,60.0,,,,,,,,25.843101024627686,0.0001
20842,40,40.0,,,,,,,,26.46425437927246,0.0001
21671,41,200.0,,,,,,,,27.47430920600891,0.0001
22148,42,40.0,,,,,,,,28.06432342529297,0.0001
