global_step,episode,return,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
543,0,20.0,,,,,,,,0.8360822200775146,0.0001
1050,1,60.0,,,,,,,,1.487138032913208,0.0001
1527,2,100.0,,,,,,,,2.3278002738952637,0.0001
1907,3,20.0,,,,,,,,2.811077356338501,0.0001
2504,4,100.0,,,,,,,,3.5701375007629395,0.0001
3089,5,60.0,,,,,,,,4.304929494857788,0.0001
3496,6,20.0,,,,,,,,4.82232928276062,0.0001
3988,7,40.0,,,,,,,,5.449759244918823,0.0001
4420,8,40.0,,,,,,,,6.05370569229126,0.0001
4942,9,60.0,,,,,,,,6.728239059448242,0.0001
5703,10,200.0,,,,,,,,7.693067789077759,0.0001
6077,11,20.0,,,,,,,,8.169766187667847,0.0001
6429,12,0.0,,,,,,,,8.618912696838379,0.0001
6878,13,60.0,,,,,,,,9.195778131484985,0.0001
7466,14,120.0,,,,,,,,9.94424319267273,0.0001
8071,15,100.0,,,,,,,,10.728667736053467,0.0001
8679,16,140.0,,,,,,,,11.500185489654541,0.0001
9167,17,60.0,,,,,,,,12.120003700256348,0.0001
10140,18,220.0,,,,,,,,13.348010778427124,0.0001
10723,19,100.0,,,,,,,,14.092609167098999,0.0001
11125,20,20.0,,,,,,,,14.608485698699951,0.0001
11706,21,100.0,,,,,,,,15.43944001197815,0.0001
12281,22,80.0,,,,,,,,16.175265550613403,0.0001
12733,23,60.0,,,,,,,,16.756895303726196,0.0001
13233,24,100.0,,,,,,,,17.47988510131836,0.0001
13771,25,120.0,,,,,,,,18.17102551460266,0.0001
14313,26,160.0,,,,,,,,18.876424074172974,0.0001
14786,27,80.0,,,,,,,,19.49200415611267,0.0001
15122,28,0.0,,,,,,,,19.922052145004272,0.0001
15538,29,40.0,,,,,,,,20.45651912689209,0.0001
16417,30,200.0,,,,,,,,21.675713539123535,0.0001
16936,31,80.0,,,,,,,,22.334141969680786,0.0001
17505,32,100.0,,,,,,,,23.10850691795349,0.0001
17947,33,60.0,,,,,,,,23.757611751556396,0.0001
18332,34,40.0,,,,,,,,24.257333278656006,0.0001
18665,35,0.0,,,,,,,,24.68956756591797,0.0001
19042,36,20.0,,,,,,,,25.17924475669861,0.0001
19453,37,60.0,,,,,,,,25.721534729003906,0.0001
19937,38,80.0,,,,,,,,26.34848642349243,0.0001
20344,39,60.0,,,,,,,,26.872838020324707,0.0001
20842,40,40.0,,,,,,,,27.53956627845764,0.0001
21671,41,200.0,,,,,,,,28.599363088607788,0.0001
22148,42,40.0,,,,,,,,29.215688228607178,0.0001
22627,43,40.0,,,,,,,,29.83240294456482,0.0001
23153,44,80.0,,,,,,,,30.520729303359985,0.0001
23770,45,100.0,,,,,,,,31.3209331035614,0.0001
24288,46,100.0,,,,,,,,32.000792503356934,0.0001
24765,47,100.0,,,,,,,,32.61952471733093,0.0001
25362,48,140.0,,,,,,,,33.398534536361694,0.0001
25768,49,60.0,,,,,,,,33.93028974533081,0.0001
26236,50,80.0,,,,,,,,34.539742946624756,0.0001
26623,51,40.0,,,,,,,,35.047022342681885,0.0001
