global_step,episode,return,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
552,0,80.0,,,,,,,,1.938192367553711,0.0001
960,1,80.0,,,,,,,,2.79522442817688,0.0001
1428,2,80.0,,,,,,,,4.677263498306274,0.0001
1777,3,40.0,,,,,,,,5.6700499057769775,0.0001
2354,4,100.0,,,,,,,,7.19616174697876,0.0001
3078,5,100.0,,,,,,,,9.197540998458862,0.0001
3847,6,80.0,,,,,,,,11.136204242706299,0.0001
4432,7,100.0,,,,,,,,12.68879771232605,0.0001
4913,8,40.0,,,,,,,,13.786670684814453,0.0001
5327,9,60.0,,,,,,,,14.653628826141357,0.0001
5746,10,40.0,,,,,,,,15.740336418151855,0.0001
6176,11,40.0,,,,,,,,16.939674615859985,0.0001
6504,12,0.0,,,,,,,,17.92010235786438,0.0001
7112,13,80.0,,,,,,,,19.64162516593933,0.0001
7789,14,120.0,,,,,,,,21.455395698547363,0.0001
8133,15,0.0,,,,,,,,22.11966848373413,0.0001
8781,16,120.0,,,,,,,,23.652053594589233,0.0001
9142,17,40.0,,,,,,,,24.42314648628235,0.0001
9566,18,60.0,,,,,,,,25.19254422187805,0.0001
10023,19,60.0,,,,,,,,26.01541256904602,0.0001
10568,20,40.0,,,,,,,,27.588463306427002,0.0001
10940,21,60.0,,,,,,,,28.61600971221924,0.0001
11598,22,160.0,,,,,,,,30.38367795944214,0.0001
12054,23,100.0,,,,,,,,31.321184873580933,0.0001
12491,24,40.0,,,,,,,,32.20919990539551,0.0001
13063,25,120.0,,,,,,,,33.32266569137573,0.0001
13927,26,140.0,,,,,,,,35.43803262710571,0.0001
14366,27,60.0,,,,,,,,36.748674392700195,0.0001
14796,28,80.0,,,,,,,,37.84682846069336,0.0001
15302,29,60.0,,,,,,,,39.02050256729126,0.0001
15660,30,20.0,,,,,,,,39.894330978393555,0.0001
16119,31,80.0,,,,,,,,41.285497188568115,0.0001
16573,32,80.0,,,,,,,,42.44940114021301,0.0001
17014,33,40.0,,,,,,,,43.53668570518494,0.0001
17407,34,20.0,,,,,,,,44.278552293777466,0.0001
17819,35,40.0,,,,,,,,45.20076775550842,0.0001
18496,36,100.0,,,,,,,,46.79019546508789,0.0001
19118,37,180.0,,,,,,,,48.41950559616089,0.0001
19872,38,160.0,,,,,,,,50.07316303253174,0.0001
20551,39,180.0,,,,,,,,51.28586411476135,0.0001
20922,40,20.0,,,,,,,,51.88713979721069,0.0001
21564,41,120.0,,,,,,,,53.144081115722656,0.0001
21919,42,0.0,,,,,,,,53.864848613739014,0.0001
22318,43,0.0,,,,,,,,54.84597086906433,0.0001
22806,44,60.0,,,,,,,,55.721160888671875,0.0001
23186,45,60.0,,,,,,,,56.72853493690491,0.0001
23587,46,20.0,,,,,,,,57.76272630691528,0.0001
23906,47,0.0,,,,,,,,58.38670539855957,0.0001
24382,48,100.0,,,,,,,,59.58271336555481,0.0001
24756,49,40.0,,,,,,,,60.68969440460205,0.0001
25218,50,60.0,,,,,,,,62.05170202255249,0.0001
25732,51,60.0,,,,,,,,63.51872992515564,0.0001
26105,52,40.0,,,,,,,,64.31959843635559,0.0001
26967,53,220.0,,,,,,,,66.07203674316406,0.0001
27345,54,20.0,,,,,,,,67.20632743835449,0.0001
27773,55,80.0,,,,,,,,68.35188436508179,0.0001
28415,56,120.0,,,,,,,,70.13551592826843,0.0001
29100,57,180.0,,,,,,,,71.81978392601013,0.0001
29671,58,140.0,,,,,,,,73.63353514671326,0.0001
30049,59,20.0,,,,,,,,74.76025342941284,0.0001
30458,60,40.0,,,,,,,,76.03196239471436,0.0001
31035,61,180.0,,,,,,,,77.22827005386353,0.0001
31453,62,40.0,,,,,,,,78.20450067520142,0.0001
32065,63,60.0,,,,,,,,79.36533308029175,0.0001
