,epoch,mini-batch,loss_tr,loss_val,acc_tr,acc_val,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
0,1,100,1.7010829162597656,1.010246330499649,0.5694,0.8105,,,,,,,,3.260462760925293,0.0001
1,1,200,0.7812774902582169,0.5852621431648731,0.8301,0.8672,,,,,,,,2.0924222469329834,0.0001
2,1,300,0.5365124130249024,0.45806396543979644,0.8727,0.8887,,,,,,,,1.7986068725585938,0.0001
3,1,400,0.430823358297348,0.39614811308681963,0.8916,0.8971,,,,,,,,1.5774004459381104,0.0001
4,1,500,0.38926984801888465,0.3603885863348842,0.8963,0.9062,,,,,,,,1.6582458019256592,0.0001
5,1,600,0.378266399204731,0.33509930841624735,0.8981,0.9103,,,,,,,,1.7958474159240723,0.0001
6,2,100,0.3300498116016388,0.3181330071389675,0.9093,0.9136,,,,,,,,2.5778846740722656,0.0001
7,2,200,0.3304683098196983,0.30183422259986403,0.908,0.914,,,,,,,,1.947230339050293,0.0001
8,2,300,0.3105562682449818,0.2919572577998042,0.9139,0.9196,,,,,,,,1.7432339191436768,0.0001
9,2,400,0.3105562275648117,0.2806756504625082,0.9119,0.9217,,,,,,,,1.6577775478363037,0.0001
10,2,500,0.29074079409241677,0.27408912384882567,0.9182,0.9232,,,,,,,,1.8497779369354248,0.0001
11,2,600,0.2722581954300404,0.26145989453420043,0.9209,0.9266,,,,,,,,1.8164007663726807,0.0001
12,3,100,0.27174859032034876,0.25936588862910864,0.9239,0.9279,,,,,,,,2.342646837234497,0.0001
13,3,200,0.2783888325095177,0.2515233610384166,0.9197,0.9307,,,,,,,,2.023899555206299,0.0001
14,3,300,0.24533035099506378,0.2433182705938816,0.9298,0.9309,,,,,,,,1.7442917823791504,0.0001
15,3,400,0.24237042248249055,0.23719224241562187,0.9339,0.9322,,,,,,,,1.5140364170074463,0.0001
16,3,500,0.24533318765461445,0.23335777116008102,0.9313,0.9334,,,,,,,,1.7502260208129883,0.0001
17,3,600,0.22643703430891038,0.2270349773950875,0.9379,0.9367,,,,,,,,1.7522871494293213,0.0001
18,4,100,0.23987231500446796,0.22291471279226244,0.9316,0.9362,,,,,,,,2.6246280670166016,0.0001
19,4,200,0.22688835024833678,0.2191685473266989,0.9374,0.939,,,,,,,,1.957603931427002,0.0001
20,4,300,0.21103333570063115,0.21399350244551896,0.9389,0.9398,,,,,,,,1.5733230113983154,0.0001
21,4,400,0.2093796542286873,0.20792377177625895,0.9406,0.9411,,,,,,,,1.7496347427368164,0.0001
22,4,500,0.20802573941648006,0.20546248423866928,0.9421,0.9419,,,,,,,,1.7368130683898926,0.0001
23,4,600,0.20615000203251838,0.2025988823454827,0.9423,0.9423,,,,,,,,1.585423469543457,0.0001
24,5,100,0.19773766182363034,0.19859106257557868,0.9449,0.9436,,,,,,,,2.577316999435425,0.0001
25,5,200,0.19874465845525266,0.1970213922765106,0.9422,0.9444,,,,,,,,1.7860238552093506,0.0001
26,5,300,0.18402940183877944,0.19370989402756095,0.9505,0.9441,,,,,,,,1.9054856300354004,0.0001
27,5,400,0.19892802394926548,0.18677620816975832,0.9444,0.9457,,,,,,,,1.3854889869689941,0.0001
28,5,500,0.18665377408266068,0.184412464434281,0.9483,0.9478,,,,,,,,1.462700605392456,0.0001
29,5,600,0.1806885166466236,0.17951567068230362,0.9476,0.9492,,,,,,,,1.8354079723358154,0.0001
30,6,100,0.1724259999394417,0.17835500878747554,0.9535,0.9485,,,,,,,,2.511981964111328,0.0001
