,epoch,mini-batch,loss_tr,loss_val,acc_tr,acc_val,SNR,EmaSNR,AdamPlusSNR,m,v,g,pwr_noise,runtime,lr
0,1,100,1.484965804219246,0.7285967591404915,0.6209,0.8388,,,,,,,,3.697601795196533,0.0001
1,1,200,0.5779044896364212,0.44264820381999015,0.856,0.888,,,,,,,,1.664487600326538,0.0001
2,1,300,0.4200002783536911,0.36726410206407306,0.8898,0.9023,,,,,,,,1.6133849620819092,0.0001
3,1,400,0.34845334216952323,0.32645010359585286,0.9054,0.9078,,,,,,,,1.521575689315796,0.0001
4,1,500,0.3254446122050285,0.3046233647316694,0.9091,0.916,,,,,,,,1.7739324569702148,0.0001
5,1,600,0.321873322725296,0.2871188865602016,0.9086,0.9197,,,,,,,,1.6715106964111328,0.0001
6,2,100,0.27775385573506356,0.2745505818538368,0.9214,0.9221,,,,,,,,2.5683202743530273,0.0001
7,2,200,0.2843959930539131,0.26141421884298327,0.9194,0.9252,,,,,,,,1.7223315238952637,0.0001
8,2,300,0.2662450728565455,0.252442489285022,0.926,0.9289,,,,,,,,1.9111690521240234,0.0001
9,2,400,0.2682578860223293,0.24225679067894818,0.921,0.9305,,,,,,,,1.6729366779327393,0.0001
10,2,500,0.2499285915493965,0.2370174743514508,0.93,0.9329,,,,,,,,1.794708490371704,0.0001
11,2,600,0.23372249469161033,0.22326619025319816,0.9336,0.9365,,,,,,,,1.9815027713775635,0.0001
12,3,100,0.2297423379868269,0.22249390228651464,0.9375,0.9375,,,,,,,,2.9678115844726562,0.0001
13,3,200,0.2368619155883789,0.21353973605670035,0.9332,0.9409,,,,,,,,1.7618060111999512,0.0001
14,3,300,0.2050898030400276,0.20575716550461948,0.9427,0.9404,,,,,,,,1.9225800037384033,0.0001
15,3,400,0.20370763152837754,0.19993546311743557,0.943,0.9419,,,,,,,,1.6894843578338623,0.0001
16,3,500,0.2061715302616358,0.19565841129049658,0.9416,0.9431,,,,,,,,1.7448358535766602,0.0001
17,3,600,0.1892938105016947,0.1897834690567106,0.9489,0.9455,,,,,,,,1.5820486545562744,0.0001
18,4,100,0.198970949947834,0.18531467425636947,0.9411,0.9459,,,,,,,,3.017957925796509,0.0001
19,4,200,0.18694064550101758,0.18209826556965708,0.9496,0.9466,,,,,,,,1.775174856185913,0.0001
20,4,300,0.17142743952572345,0.17784819724503906,0.9519,0.9478,,,,,,,,1.8574860095977783,0.0001
21,4,400,0.1726592307165265,0.1715720911929384,0.9498,0.9509,,,,,,,,1.9161360263824463,0.0001
22,4,500,0.17209707356989384,0.17038570066913963,0.9511,0.9518,,,,,,,,1.7784273624420166,0.0001
23,4,600,0.17046866714954376,0.16704072967171668,0.9548,0.9525,,,,,,,,1.7771942615509033,0.0001
24,5,100,0.16219670698046684,0.163526073647663,0.9537,0.952,,,,,,,,2.7667934894561768,0.0001
25,5,200,0.16065713301301002,0.16178728077095003,0.9545,0.954,,,,,,,,1.8928301334381104,0.0001
26,5,300,0.15034937672317028,0.16156848983373492,0.9584,0.952,,,,,,,,1.7700271606445312,0.0001
27,5,400,0.16348097734153272,0.1533024046989158,0.9561,0.9548,,,,,,,,1.6797380447387695,0.0001
28,5,500,0.15294494226574898,0.15021193980704994,0.9585,0.9566,,,,,,,,1.6595220565795898,0.0001
29,5,600,0.14661526665091515,0.1465521715162322,0.9577,0.9576,,,,,,,,1.8055596351623535,0.0001
30,6,100,0.13856639686971903,0.14687639088835566,0.9621,0.9573,,,,,,,,2.7025325298309326,0.0001
31,6,200,0.13947431065142155,0.14348390258615837,0.9613,0.9592,,,,,,,,1.86110258102417,0.0001
32,6,300,0.1398632088303566,0.1421432371251285,0.9623,0.9588,,,,,,,,1.5551135540008545,0.0001
33,6,400,0.1305603202432394,0.13907265061279758,0.9636,0.9594,,,,,,,,1.7966954708099365,0.0001
34,6,500,0.13855526700615883,0.1380050839856267,0.9614,0.9598,,,,,,,,1.7662546634674072,0.0001
35,6,600,0.14255360171198844,0.13471330208238214,0.9603,0.9613,,,,,,,,1.8298964500427246,0.0001
36,7,100,0.12418710514903068,0.13362315844744443,0.9669,0.9619,,,,,,,,2.4907279014587402,0.0001
37,7,200,0.1305231311172247,0.13118960930034518,0.9655,0.9613,,,,,,,,1.9490196704864502,0.0001
38,7,300,0.12780518401414157,0.13165868087206037,0.9649,0.9621,,,,,,,,1.8521003723144531,0.0001
39,7,400,0.12178016524761916,0.127964455219917,0.9657,0.9623,,,,,,,,1.7353484630584717,0.0001
40,7,500,0.1160407841205597,0.12513804218964653,0.9683,0.9635,,,,,,,,1.9108045101165771,0.0001
41,7,600,0.12324699357151986,0.1245725808525458,0.9662,0.963,,,,,,,,1.8608887195587158,0.0001
42,8,100,0.11295848721638321,0.12628846899140625,0.9705,0.9631,,,,,,,,3.0072882175445557,0.0001
43,8,200,0.11118841402232647,0.12418433495098725,0.9697,0.9632,,,,,,,,1.6181142330169678,0.0001
44,8,300,0.11289335563778877,0.12207918832777068,0.9692,0.9644,,,,,,,,1.8397138118743896,0.0001
45,8,400,0.11321078514680266,0.11958942573517561,0.9687,0.9648,,,,,,,,1.766582727432251,0.0001
46,8,500,0.11159205738455057,0.11739060511812567,0.9703,0.965,,,,,,,,1.5350897312164307,0.0001
47,8,600,0.11325983062386513,0.11786643031053246,0.9672,0.9658,,,,,,,,1.7223355770111084,0.0001
48,9,100,0.10385558370500803,0.11670098999049515,0.9716,0.966,,,,,,,,2.772207021713257,0.0001
49,9,200,0.0952982633560896,0.11528146574506536,0.9752,0.9668,,,,,,,,1.6509182453155518,0.0001
50,9,300,0.10679883863776922,0.11254366472130642,0.9702,0.9669,,,,,,,,1.8164629936218262,0.0001
51,9,400,0.10767151519656182,0.11049575356068089,0.9698,0.9678,,,,,,,,1.7995195388793945,0.0001
52,9,500,0.10970926057547331,0.10951173838227987,0.9701,0.9668,,,,,,,,1.9598665237426758,0.0001
53,9,600,0.09665706673637033,0.1091884161462076,0.9733,0.9672,,,,,,,,2.108307361602783,0.0001
54,10,100,0.09152080550789833,0.10927223933394999,0.9761,0.9678,,,,,,,,2.917649269104004,0.0001
55,10,200,0.09832665979862214,0.10763051382265985,0.9735,0.9693,,,,,,,,1.8610384464263916,0.0001
56,10,300,0.09749073121696711,0.10910580980358646,0.9735,0.9684,,,,,,,,1.7041747570037842,0.0001
57,10,400,0.09424902020022273,0.10492865540087223,0.9738,0.9692,,,,,,,,1.6319479942321777,0.0001
58,10,500,0.09460585968568921,0.10412360163405537,0.9744,0.9687,,,,,,,,1.5601449012756348,0.0001
59,10,600,0.09777918174862861,0.10274229845497757,0.9716,0.9705,,,,,,,,1.7869634628295898,0.0001
60,11,100,0.09014259919524192,0.10217240465455689,0.9758,0.97,,,,,,,,2.856874942779541,0.0001
61,11,200,0.09449960734695197,0.10238181137014181,0.9739,0.9705,,,,,,,,2.1457407474517822,0.0001
62,11,300,0.08485849210992455,0.10134062726865523,0.976,0.9706,,,,,,,,1.6760740280151367,0.0001
63,11,400,0.08808867955580353,0.10181845858925953,0.9755,0.97,,,,,,,,1.6844210624694824,0.0001
64,11,500,0.08602441929280757,0.1002555103134364,0.9769,0.9709,,,,,,,,1.6412136554718018,0.0001
65,11,600,0.09051950018852949,0.10060599943972193,0.9739,0.9697,,,,,,,,1.7497153282165527,0.0001
66,12,100,0.08352708112448454,0.09969579980242997,0.9784,0.9712,,,,,,,,2.8284192085266113,0.0001
67,12,200,0.08167101947590709,0.09895578462630511,0.9779,0.9707,,,,,,,,2.0939974784851074,0.0001
68,12,300,0.08759326085448266,0.09921308524208143,0.9764,0.9701,,,,,,,,1.565659523010254,0.0001
69,12,400,0.0842853801138699,0.09838596927700564,0.9774,0.9704,,,,,,,,1.6526782512664795,0.0001
70,12,500,0.08084135303273797,0.09785029178718105,0.9772,0.9718,,,,,,,,1.628871202468872,0.0001
71,12,600,0.08298962157219648,0.0946982156438753,0.976,0.9716,,,,,,,,1.7834408283233643,0.0001
72,13,100,0.0740361088141799,0.0968240528460592,0.9802,0.9711,,,,,,,,2.536003589630127,0.0001
73,13,200,0.07892244821414351,0.09329377987189219,0.9792,0.9726,,,,,,,,1.886401653289795,0.0001
74,13,300,0.07875711830332875,0.0952110930532217,0.9786,0.9719,,,,,,,,1.8144433498382568,0.0001
75,13,400,0.07828350538387895,0.09427901384187862,0.977,0.9719,,,,,,,,1.5804615020751953,0.0001
76,13,500,0.07789214907214045,0.0942996748839505,0.9795,0.9726,,,,,,,,1.5556275844573975,0.0001
77,13,600,0.08474101450294257,0.09195408763131127,0.9762,0.9736,,,,,,,,1.56434965133667,0.0001
78,14,100,0.07625248283147812,0.09310365222860127,0.9789,0.9731,,,,,,,,2.4377601146698,0.0001
79,14,200,0.07210535827092826,0.09076896645827219,0.981,0.9735,,,,,,,,2.2302355766296387,0.0001
80,14,300,0.07042835561558604,0.08948928093421273,0.9827,0.9731,,,,,,,,1.7943403720855713,0.0001
81,14,400,0.07628110032528639,0.08874797301716171,0.9787,0.9736,,,,,,,,1.831496238708496,0.0001
82,14,500,0.07384234631434083,0.09117584814550356,0.9807,0.9727,,,,,,,,1.853762149810791,0.0001
83,14,600,0.07614972114562989,0.08993925089016556,0.9789,0.9737,,,,,,,,1.672333002090454,0.0001
84,15,100,0.06680420937016607,0.08912911521154455,0.9834,0.9734,,,,,,,,2.6469578742980957,0.0001
85,15,200,0.069829242490232,0.08953076314064674,0.9812,0.9731,,,,,,,,1.9725711345672607,0.0001
86,15,300,0.06761590199545026,0.09003551462083123,0.981,0.9725,,,,,,,,1.755211591720581,0.0001
87,15,400,0.07239075973629952,0.08650536619476043,0.9806,0.975,,,,,,,,1.5791919231414795,0.0001
88,15,500,0.07054627107456327,0.08767221976770088,0.9822,0.9742,,,,,,,,1.772676944732666,0.0001
89,15,600,0.07563241446390748,0.08617472765152343,0.9804,0.9761,,,,,,,,1.6040809154510498,0.0001
90,16,100,0.0651259396597743,0.08665851851925253,0.9842,0.9751,,,,,,,,2.923171043395996,0.0001
91,16,200,0.06434801654890179,0.086135392106371,0.9832,0.9751,,,,,,,,2.182352304458618,0.0001
92,16,300,0.06580743990838528,0.08450632957043126,0.9825,0.9749,,,,,,,,1.87626314163208,0.0001
93,16,400,0.07214677553623915,0.08448450908996165,0.9805,0.9762,,,,,,,,1.7210097312927246,0.0001
94,16,500,0.06581093687564135,0.08527098572347314,0.9813,0.9752,,,,,,,,1.9697518348693848,0.0001
95,16,600,0.06776654541492462,0.08474089812138118,0.9828,0.9756,,,,,,,,1.6259608268737793,0.0001
96,17,100,0.061307038478553295,0.0858148211473599,0.9851,0.9734,,,,,,,,2.5787620544433594,0.0001
97,17,200,0.060503551196306946,0.0835994451935403,0.9846,0.9752,,,,,,,,1.9118263721466064,0.0001
98,17,300,0.06687507579103112,0.08461208147346042,0.9823,0.9749,,,,,,,,1.876664638519287,0.0001
99,17,400,0.059762004036456345,0.08377154787885957,0.9851,0.9755,,,,,,,,1.8738987445831299,0.0001
100,17,500,0.07157110067084432,0.08522538026212714,0.9804,0.975,,,,,,,,2.1952943801879883,0.0001
101,17,600,0.06388540076091885,0.08232131885713898,0.983,0.9762,,,,,,,,1.6585922241210938,0.0001
102,18,100,0.05846532793715596,0.08335156165645458,0.985,0.9739,,,,,,,,2.633040189743042,0.0001
103,18,200,0.0637082041427493,0.08245148618589156,0.9826,0.9757,,,,,,,,2.035076141357422,0.0001
104,18,300,0.06218591924756765,0.08170108544523828,0.9839,0.9759,,,,,,,,1.733001947402954,0.0001
105,18,400,0.06117424989119172,0.08051283617969603,0.9847,0.975,,,,,,,,1.4864437580108643,0.0001
106,18,500,0.06134405292570591,0.08133226258854848,0.9836,0.9755,,,,,,,,1.5303943157196045,0.0001
107,18,600,0.06104483083821833,0.08181219302117824,0.985,0.9756,,,,,,,,1.6172223091125488,0.0001
108,19,100,0.055004740748554465,0.0849732544401195,0.9864,0.9746,,,,,,,,2.319681406021118,0.0001
