Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = False
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 860: loss 4.8029, time 3715.05ms, mfu 36.17%
iter 870: loss 4.6953, time 3718.34ms, mfu 36.18%
iter 880: loss 4.9581, time 3717.33ms, mfu 36.18%
iter 890: loss 4.8302, time 3719.69ms, mfu 36.18%
iter 900: loss 4.8288, time 3718.46ms, mfu 36.19%
iter 910: loss 4.6192, time 3719.59ms, mfu 36.19%
iter 920: loss 4.6567, time 3722.37ms, mfu 36.19%
iter 930: loss 4.5824, time 3722.22ms, mfu 36.19%
iter 940: loss 4.8363, time 3721.86ms, mfu 36.19%
iter 950: loss 4.7080, time 3717.66ms, mfu 36.19%
iter 960: loss 4.5368, time 3719.77ms, mfu 36.19%
iter 970: loss 4.4399, time 3715.64ms, mfu 36.20%
iter 980: loss 4.5642, time 3721.64ms, mfu 36.19%
iter 990: loss 4.7006, time 3720.89ms, mfu 36.19%
step 1000: train loss 4.5062, val loss 4.5147
saving checkpoint to out
iter 1000: loss 4.6459, time 17589.47ms, mfu 33.34%
iter 1010: loss 4.5166, time 3712.30ms, mfu 33.63%
iter 1020: loss 4.5799, time 3715.04ms, mfu 33.89%
iter 1030: loss 4.3542, time 3718.92ms, mfu 34.13%
iter 1040: loss 4.4634, time 3720.86ms, mfu 34.33%
iter 1050: loss 4.4890, time 3721.33ms, mfu 34.52%
iter 1060: loss 4.4551, time 3721.53ms, mfu 34.68%
iter 1070: loss 4.4234, time 3718.29ms, mfu 34.84%
iter 1080: loss 4.2855, time 3719.77ms, mfu 34.97%
iter 1090: loss 4.1367, time 3721.45ms, mfu 35.10%
iter 1100: loss 4.2743, time 3721.59ms, mfu 35.20%
iter 1110: loss 4.3965, time 3715.87ms, mfu 35.31%
iter 1120: loss 4.1218, time 3720.33ms, mfu 35.40%
iter 1130: loss 4.1717, time 3720.70ms, mfu 35.48%
iter 1140: loss 4.2658, time 3717.80ms, mfu 35.55%
iter 1150: loss 4.1216, time 3719.05ms, mfu 35.62%
iter 1160: loss 4.2005, time 3717.99ms, mfu 35.68%
iter 1170: loss 4.2618, time 3715.81ms, mfu 35.73%
iter 1180: loss 4.3029, time 3720.02ms, mfu 35.78%
iter 1190: loss 4.2932, time 3716.90ms, mfu 35.82%
iter 1200: loss 4.2998, time 3717.26ms, mfu 35.86%
iter 1210: loss 4.3449, time 3720.81ms, mfu 35.90%
iter 1220: loss 4.2564, time 3716.47ms, mfu 35.93%
iter 1230: loss 4.1493, time 3722.14ms, mfu 35.96%
iter 1240: loss 4.1894, time 3719.91ms, mfu 35.98%
iter 1250: loss 4.0145, time 3722.45ms, mfu 36.00%
iter 1260: loss 4.2643, time 3720.93ms, mfu 36.02%
iter 1270: loss 4.1489, time 3722.33ms, mfu 36.03%
iter 1280: loss 4.3358, time 3719.21ms, mfu 36.05%
iter 1290: loss 4.0332, time 3718.13ms, mfu 36.07%
iter 1300: loss 4.1645, time 3717.75ms, mfu 36.08%
iter 1310: loss 4.2678, time 3721.65ms, mfu 36.09%
iter 1320: loss 4.2416, time 3723.51ms, mfu 36.10%
iter 1330: loss 4.2311, time 3719.28ms, mfu 36.11%
iter 1340: loss 4.0047, time 3715.78ms, mfu 36.12%
iter 1350: loss 3.8437, time 3723.08ms, mfu 36.13%
iter 1360: loss 4.1758, time 3721.05ms, mfu 36.13%
iter 1370: loss 4.0524, time 3717.16ms, mfu 36.14%
iter 1380: loss 4.0153, time 3720.43ms, mfu 36.15%
iter 1390: loss 4.0899, time 3722.61ms, mfu 36.15%
iter 1400: loss 3.8488, time 3720.82ms, mfu 36.15%
iter 1410: loss 4.1536, time 3717.13ms, mfu 36.16%
iter 1420: loss 4.1544, time 3719.81ms, mfu 36.17%
iter 1430: loss 4.0687, time 3721.83ms, mfu 36.17%
iter 1440: loss 4.0449, time 3722.76ms, mfu 36.17%
iter 1450: loss 4.0562, time 3720.37ms, mfu 36.17%
iter 1460: loss 3.8778, time 3722.67ms, mfu 36.17%
iter 1470: loss 4.0701, time 3719.34ms, mfu 36.17%
iter 1480: loss 4.1134, time 3720.99ms, mfu 36.18%
iter 1490: loss 4.1173, time 3720.38ms, mfu 36.18%
