Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = False
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: False
compiling the model... (takes a ~minute)
iter 490: loss 5.7698, time 4368.73ms, time_process 4344.80ms, time_perf 4368.73ms, mfu 30.87%
iter 500: loss 5.6822, time 4387.33ms, time_process 4358.63ms, time_perf 4387.33ms, mfu 30.85%
iter 510: loss 5.5334, time 4382.31ms, time_process 4356.98ms, time_perf 4382.31ms, mfu 30.84%
iter 520: loss 5.5436, time 4386.11ms, time_process 4363.30ms, time_perf 4386.11ms, mfu 30.83%
iter 530: loss 5.5107, time 4375.06ms, time_process 4355.67ms, time_perf 4375.06ms, mfu 30.82%
iter 540: loss 5.4265, time 4386.34ms, time_process 4367.66ms, time_perf 4386.34ms, mfu 30.81%
iter 550: loss 5.3440, time 4372.82ms, time_process 4352.48ms, time_perf 4372.82ms, mfu 30.81%
iter 560: loss 5.4575, time 4377.63ms, time_process 4359.96ms, time_perf 4377.63ms, mfu 30.80%
iter 570: loss 5.4355, time 4371.44ms, time_process 4354.30ms, time_perf 4371.44ms, mfu 30.80%
iter 580: loss 5.4406, time 4386.80ms, time_process 4369.11ms, time_perf 4386.80ms, mfu 30.79%
iter 590: loss 5.5033, time 4377.42ms, time_process 4359.35ms, time_perf 4377.42ms, mfu 30.79%
iter 600: loss 5.4661, time 4379.30ms, time_process 4361.90ms, time_perf 4379.30ms, mfu 30.79%
iter 610: loss 5.2448, time 4379.27ms, time_process 4363.07ms, time_perf 4379.27ms, mfu 30.78%
iter 620: loss 5.4605, time 4379.02ms, time_process 4354.48ms, time_perf 4379.02ms, mfu 30.78%
iter 630: loss 5.5189, time 4376.93ms, time_process 4360.39ms, time_perf 4376.93ms, mfu 30.78%
iter 640: loss 5.3004, time 4381.71ms, time_process 4367.78ms, time_perf 4381.72ms, mfu 30.77%
iter 650: loss 5.2148, time 4138.37ms, time_process 4123.07ms, time_perf 4138.37ms, mfu 30.95%
iter 660: loss 5.3694, time 4385.13ms, time_process 4368.31ms, time_perf 4385.13ms, mfu 30.93%
iter 670: loss 5.1310, time 4170.44ms, time_process 4154.33ms, time_perf 4170.44ms, mfu 31.06%
iter 680: loss 5.1917, time 4380.95ms, time_process 4368.03ms, time_perf 4380.95ms, mfu 31.03%
iter 690: loss 5.1718, time 4385.96ms, time_process 4377.07ms, time_perf 4385.96ms, mfu 31.00%
iter 700: loss 5.2008, time 4377.66ms, time_process 4362.77ms, time_perf 4377.66ms, mfu 30.97%
iter 710: loss 5.2103, time 4379.82ms, time_process 4365.56ms, time_perf 4379.82ms, mfu 30.95%
iter 720: loss 5.1898, time 4369.59ms, time_process 4357.36ms, time_perf 4369.59ms, mfu 30.94%
iter 730: loss 4.7848, time 4363.92ms, time_process 4351.41ms, time_perf 4363.92ms, mfu 30.93%
iter 740: loss 4.9314, time 4382.10ms, time_process 4369.10ms, time_perf 4382.10ms, mfu 30.91%
iter 750: loss 5.0219, time 4380.72ms, time_process 4370.01ms, time_perf 4380.72ms, mfu 30.89%
iter 760: loss 4.7700, time 4362.40ms, time_process 4352.27ms, time_perf 4362.40ms, mfu 30.89%
iter 770: loss 5.0117, time 4371.88ms, time_process 4360.50ms, time_perf 4371.88ms, mfu 30.88%
iter 780: loss 4.9120, time 4364.63ms, time_process 4353.30ms, time_perf 4364.63ms, mfu 30.88%
iter 790: loss 5.0681, time 4375.11ms, time_process 4364.62ms, time_perf 4375.11ms, mfu 30.87%
iter 800: loss 4.9775, time 4376.35ms, time_process 4366.05ms, time_perf 4376.35ms, mfu 30.86%
iter 810: loss 5.0372, time 4385.32ms, time_process 4374.69ms, time_perf 4385.32ms, mfu 30.84%
iter 820: loss 5.0708, time 4378.13ms, time_process 4366.53ms, time_perf 4378.13ms, mfu 30.83%
iter 830: loss 4.9780, time 4368.51ms, time_process 4358.81ms, time_perf 4368.51ms, mfu 30.83%
iter 840: loss 4.7958, time 4371.57ms, time_process 4362.88ms, time_perf 4371.57ms, mfu 30.83%
iter 850: loss 4.7801, time 4366.71ms, time_process 4358.42ms, time_perf 4366.71ms, mfu 30.83%
iter 860: loss 4.6289, time 4358.71ms, time_process 4349.94ms, time_perf 4358.71ms, mfu 30.84%
iter 870: loss 5.0403, time 4359.44ms, time_process 4350.07ms, time_perf 4359.44ms, mfu 30.84%
iter 880: loss 4.6191, time 4356.46ms, time_process 4348.23ms, time_perf 4356.46ms, mfu 30.85%
iter 890: loss 4.8362, time 4355.89ms, time_process 4346.41ms, time_perf 4355.89ms, mfu 30.86%
iter 900: loss 4.7347, time 4360.63ms, time_process 4352.70ms, time_perf 4360.63ms, mfu 30.86%
iter 910: loss 4.7799, time 4361.40ms, time_process 4356.50ms, time_perf 4361.40ms, mfu 30.86%
iter 920: loss 4.9129, time 4366.24ms, time_process 4359.23ms, time_perf 4366.24ms, mfu 30.86%
iter 930: loss 4.8966, time 4355.92ms, time_process 4349.05ms, time_perf 4355.92ms, mfu 30.86%
iter 940: loss 4.6523, time 3593.92ms, time_process 3587.52ms, time_perf 3593.92ms, mfu 31.52%
iter 950: loss 4.5781, time 3599.62ms, time_process 3592.28ms, time_perf 3599.62ms, mfu 32.11%
iter 960: loss 4.5912, time 3598.77ms, time_process 3592.45ms, time_perf 3598.77ms, mfu 32.64%
iter 970: loss 4.6039, time 3598.57ms, time_process 3592.37ms, time_perf 3598.58ms, mfu 33.12%
iter 980: loss 4.4963, time 3603.47ms, time_process 3596.58ms, time_perf 3603.47ms, mfu 33.55%
iter 990: loss 4.5057, time 3599.67ms, time_process 3593.28ms, time_perf 3599.67ms, mfu 33.93%
step 1000: train loss 4.5372, val loss 4.5246
saving checkpoint to out
iter 1000: loss 4.6381, time 16691.88ms, time_process 15903.22ms, time_perf 16691.88ms, mfu 31.35%
iter 1010: loss 4.4408, time 3596.62ms, time_process 3590.43ms, time_perf 3596.62ms, mfu 31.96%
iter 1020: loss 4.7175, time 3596.71ms, time_process 3590.80ms, time_perf 3596.71ms, mfu 32.50%
iter 1030: loss 4.4748, time 3594.55ms, time_process 3587.38ms, time_perf 3594.55ms, mfu 33.00%
iter 1040: loss 4.4676, time 3597.21ms, time_process 3592.17ms, time_perf 3597.21ms, mfu 33.44%
iter 1050: loss 4.4893, time 3598.34ms, time_process 3592.24ms, time_perf 3598.34ms, mfu 33.84%
iter 1060: loss 4.4471, time 3593.48ms, time_process 3586.61ms, time_perf 3593.48ms, mfu 34.20%
iter 1070: loss 4.5964, time 3597.25ms, time_process 3589.20ms, time_perf 3597.25ms, mfu 34.53%
iter 1080: loss 4.4713, time 3600.35ms, time_process 3596.93ms, time_perf 3600.35ms, mfu 34.81%
iter 1090: loss 4.2855, time 3596.28ms, time_process 3591.41ms, time_perf 3596.28ms, mfu 35.08%
iter 1100: loss 4.0597, time 3597.32ms, time_process 3595.02ms, time_perf 3597.32ms, mfu 35.31%
iter 1110: loss 4.4473, time 3600.37ms, time_process 3595.76ms, time_perf 3600.37ms, mfu 35.52%
iter 1120: loss 4.6014, time 3598.59ms, time_process 3594.89ms, time_perf 3598.59ms, mfu 35.71%
iter 1130: loss 4.1432, time 3597.42ms, time_process 3592.93ms, time_perf 3597.43ms, mfu 35.88%
iter 1140: loss 4.2740, time 3601.81ms, time_process 3595.03ms, time_perf 3601.82ms, mfu 36.03%
iter 1150: loss 4.3223, time 3597.77ms, time_process 3594.05ms, time_perf 3597.77ms, mfu 36.17%
iter 1160: loss 4.3792, time 3597.61ms, time_process 3593.58ms, time_perf 3597.61ms, mfu 36.30%
iter 1170: loss 4.1860, time 3598.18ms, time_process 3595.29ms, time_perf 3598.18ms, mfu 36.41%
iter 1180: loss 4.2365, time 3598.90ms, time_process 3593.00ms, time_perf 3598.90ms, mfu 36.51%
