Overriding config with config/train_gpt2.py:
# config for training GPT-2 (124M) down to very nice loss of ~2.85 on 1 node of 8X A100 40GB
# launch as the following (e.g. in a screen session) and wait ~5 days:
# $ torchrun --standalone --nproc_per_node=8 train.py config/train_gpt2.py

wandb_log = False
wandb_project = 'owt'
wandb_run_name='gpt2-124M'

# these make the total batch size be ~0.5M
# 12 batch size * 1024 block size * 5 gradaccum * 8 GPUs = 491,520
batch_size = 12
block_size = 1024
gradient_accumulation_steps = 5 * 8

# this makes total number of tokens be 300B
max_iters = 600000
lr_decay_iters = 600000

# eval stuff
eval_interval = 1000
eval_iters = 200
log_interval = 10

# weight decay
weight_decay = 1e-1

tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
Using AdamW+
compiling the model... (takes a ~minute)
iter 490: loss 5.5670, time 3706.75ms, time_process 3708.07ms, time_perf 3706.75ms, mfu 36.33%
iter 500: loss 5.4094, time 3710.88ms, time_process 3712.16ms, time_perf 3710.88ms, mfu 36.33%
iter 510: loss 5.5590, time 3706.76ms, time_process 3708.17ms, time_perf 3706.76ms, mfu 36.33%
iter 520: loss 5.5396, time 3706.83ms, time_process 3708.11ms, time_perf 3706.83ms, mfu 36.33%
iter 530: loss 5.5421, time 3709.93ms, time_process 3711.21ms, time_perf 3709.93ms, mfu 36.33%
iter 540: loss 5.2288, time 3710.60ms, time_process 3711.88ms, time_perf 3710.60ms, mfu 36.32%
iter 550: loss 5.5442, time 3709.74ms, time_process 3711.09ms, time_perf 3709.74ms, mfu 36.32%
iter 560: loss 5.4472, time 3708.75ms, time_process 3709.90ms, time_perf 3708.75ms, mfu 36.32%
iter 570: loss 5.2688, time 3708.27ms, time_process 3709.52ms, time_perf 3708.27ms, mfu 36.32%
iter 580: loss 5.3134, time 3711.95ms, time_process 3713.13ms, time_perf 3711.95ms, mfu 36.31%
iter 590: loss 5.4360, time 3709.85ms, time_process 3710.48ms, time_perf 3709.85ms, mfu 36.31%
iter 600: loss 5.2817, time 3709.09ms, time_process 3710.38ms, time_perf 3709.09ms, mfu 36.31%
iter 610: loss 5.2943, time 3710.49ms, time_process 3711.84ms, time_perf 3710.49ms, mfu 36.31%
iter 620: loss 5.2019, time 3708.07ms, time_process 3709.46ms, time_perf 3708.07ms, mfu 36.31%
iter 630: loss 5.3102, time 3709.67ms, time_process 3710.97ms, time_perf 3709.67ms, mfu 36.31%
iter 640: loss 5.2841, time 3708.12ms, time_process 3709.25ms, time_perf 3708.12ms, mfu 36.31%
iter 650: loss 5.0700, time 3708.37ms, time_process 3709.83ms, time_perf 3708.37ms, mfu 36.31%
iter 660: loss 4.9881, time 3712.41ms, time_process 3713.71ms, time_perf 3712.41ms, mfu 36.31%
iter 670: loss 5.2712, time 3710.86ms, time_process 3712.16ms, time_perf 3710.86ms, mfu 36.30%
iter 680: loss 5.2180, time 3707.91ms, time_process 3709.22ms, time_perf 3707.91ms, mfu 36.31%
iter 690: loss 5.1755, time 3708.00ms, time_process 3709.34ms, time_perf 3708.00ms, mfu 36.31%
iter 700: loss 5.2051, time 3710.28ms, time_process 3711.54ms, time_perf 3710.28ms, mfu 36.31%
iter 710: loss 5.0410, time 3710.99ms, time_process 3712.28ms, time_perf 3710.99ms, mfu 36.30%
iter 720: loss 4.6949, time 3711.15ms, time_process 3712.48ms, time_perf 3711.15ms, mfu 36.30%
iter 730: loss 5.0883, time 3709.31ms, time_process 3710.41ms, time_perf 3709.31ms, mfu 36.30%
iter 740: loss 4.8746, time 3710.54ms, time_process 3711.82ms, time_perf 3710.54ms, mfu 36.30%
iter 750: loss 4.8040, time 3709.16ms, time_process 3710.56ms, time_perf 3709.16ms, mfu 36.30%
iter 760: loss 5.2016, time 3712.92ms, time_process 3714.11ms, time_perf 3712.92ms, mfu 36.30%
iter 770: loss 4.8243, time 3706.98ms, time_process 3708.18ms, time_perf 3706.98ms, mfu 36.30%
iter 780: loss 4.7461, time 3708.18ms, time_process 3709.21ms, time_perf 3708.18ms, mfu 36.30%
iter 790: loss 4.8746, time 3709.24ms, time_process 3710.58ms, time_perf 3709.24ms, mfu 36.30%
iter 800: loss 4.8044, time 3709.87ms, time_process 3711.06ms, time_perf 3709.87ms, mfu 36.30%
iter 810: loss 4.9529, time 3709.46ms, time_process 3710.67ms, time_perf 3709.46ms, mfu 36.30%
iter 820: loss 4.8160, time 3709.90ms, time_process 3711.20ms, time_perf 3709.90ms, mfu 36.30%
iter 830: loss 4.7873, time 3710.69ms, time_process 3711.95ms, time_perf 3710.69ms, mfu 36.30%
iter 840: loss 4.8449, time 3712.07ms, time_process 3713.35ms, time_perf 3712.07ms, mfu 36.30%
iter 850: loss 4.8067, time 3710.34ms, time_process 3711.47ms, time_perf 3710.34ms, mfu 36.30%
iter 860: loss 4.6590, time 3711.57ms, time_process 3712.88ms, time_perf 3711.57ms, mfu 36.30%
iter 870: loss 4.6183, time 3709.04ms, time_process 3710.21ms, time_perf 3709.04ms, mfu 36.30%
iter 880: loss 4.8671, time 3711.34ms, time_process 3712.50ms, time_perf 3711.34ms, mfu 36.30%
iter 890: loss 4.7009, time 3713.30ms, time_process 3714.70ms, time_perf 3713.30ms, mfu 36.29%
iter 900: loss 4.7423, time 3713.05ms, time_process 3714.35ms, time_perf 3713.05ms, mfu 36.29%
iter 910: loss 4.5344, time 3711.19ms, time_process 3712.41ms, time_perf 3711.19ms, mfu 36.29%
iter 920: loss 4.5745, time 3711.69ms, time_process 3713.05ms, time_perf 3711.69ms, mfu 36.29%
iter 930: loss 4.4579, time 3709.39ms, time_process 3710.62ms, time_perf 3709.39ms, mfu 36.29%
iter 940: loss 4.7320, time 3710.47ms, time_process 3711.69ms, time_perf 3710.47ms, mfu 36.29%
iter 950: loss 4.6264, time 3708.81ms, time_process 3710.05ms, time_perf 3708.81ms, mfu 36.29%
iter 960: loss 4.4603, time 3711.25ms, time_process 3712.33ms, time_perf 3711.24ms, mfu 36.29%
iter 970: loss 4.3475, time 3711.85ms, time_process 3713.10ms, time_perf 3711.86ms, mfu 36.29%
iter 980: loss 4.4854, time 3711.97ms, time_process 3713.11ms, time_perf 3711.97ms, mfu 36.29%
iter 990: loss 4.6029, time 3708.56ms, time_process 3710.00ms, time_perf 3708.56ms, mfu 36.29%
step 1000: train loss 4.4208, val loss 4.4333
saving checkpoint to out
iter 1000: loss 4.5714, time 20156.76ms, time_process 18964.70ms, time_perf 20156.76ms, mfu 33.33%
iter 1010: loss 4.4221, time 3709.53ms, time_process 3710.86ms, time_perf 3709.53ms, mfu 33.63%
iter 1020: loss 4.4935, time 3708.94ms, time_process 3710.23ms, time_perf 3708.94ms, mfu 33.89%
iter 1030: loss 4.2913, time 3709.51ms, time_process 3710.71ms, time_perf 3709.51ms, mfu 34.14%
iter 1040: loss 4.3868, time 3710.34ms, time_process 3711.60ms, time_perf 3710.34ms, mfu 34.35%
iter 1050: loss 4.4246, time 3709.54ms, time_process 3710.94ms, time_perf 3709.54ms, mfu 34.55%
iter 1060: loss 4.3937, time 3712.07ms, time_process 3713.37ms, time_perf 3712.07ms, mfu 34.72%
iter 1070: loss 4.3293, time 3711.78ms, time_process 3713.07ms, time_perf 3711.78ms, mfu 34.88%
iter 1080: loss 4.2085, time 3713.05ms, time_process 3714.43ms, time_perf 3713.05ms, mfu 35.01%
iter 1090: loss 4.0697, time 3710.26ms, time_process 3711.70ms, time_perf 3710.26ms, mfu 35.14%
iter 1100: loss 4.2125, time 3712.31ms, time_process 3713.56ms, time_perf 3712.31ms, mfu 35.26%
iter 1110: loss 4.3266, time 3711.80ms, time_process 3713.06ms, time_perf 3711.80ms, mfu 35.36%
iter 1120: loss 4.0480, time 3712.00ms, time_process 3713.37ms, time_perf 3712.00ms, mfu 35.45%
iter 1130: loss 4.0946, time 3710.01ms, time_process 3711.24ms, time_perf 3710.02ms, mfu 35.53%
iter 1140: loss 4.1893, time 3711.80ms, time_process 3713.06ms, time_perf 3711.80ms, mfu 35.61%
iter 1150: loss 4.0471, time 3712.48ms, time_process 3713.87ms, time_perf 3712.47ms, mfu 35.67%
iter 1160: loss 4.1429, time 3712.55ms, time_process 3713.83ms, time_perf 3712.55ms, mfu 35.73%
iter 1170: loss 4.2245, time 3714.05ms, time_process 3715.25ms, time_perf 3714.05ms, mfu 35.79%
iter 1180: loss 4.2120, time 3718.03ms, time_process 3719.22ms, time_perf 3718.03ms, mfu 35.83%
iter 1190: loss 4.2467, time 3711.38ms, time_process 3712.77ms, time_perf 3711.38ms, mfu 35.88%
iter 1200: loss 4.2437, time 3711.47ms, time_process 3712.76ms, time_perf 3711.47ms, mfu 35.92%
iter 1210: loss 4.3064, time 3711.43ms, time_process 3712.74ms, time_perf 3711.43ms, mfu 35.95%
iter 1220: loss 4.2028, time 3712.63ms, time_process 3713.96ms, time_perf 3712.63ms, mfu 35.98%
iter 1230: loss 4.0908, time 3713.11ms, time_process 3714.38ms, time_perf 3713.11ms, mfu 36.01%
iter 1240: loss 4.1440, time 3712.40ms, time_process 3713.68ms, time_perf 3712.40ms, mfu 36.04%
iter 1250: loss 3.9603, time 3714.25ms, time_process 3715.52ms, time_perf 3714.25ms, mfu 36.06%
iter 1260: loss 4.2150, time 3712.29ms, time_process 3713.62ms, time_perf 3712.29ms, mfu 36.08%
iter 1270: loss 4.0839, time 3712.93ms, time_process 3714.25ms, time_perf 3712.93ms, mfu 36.10%
iter 1280: loss 4.2846, time 3712.75ms, time_process 3714.03ms, time_perf 3712.75ms, mfu 36.12%
iter 1290: loss 3.9477, time 3710.63ms, time_process 3712.07ms, time_perf 3710.63ms, mfu 36.13%
iter 1300: loss 4.1106, time 3709.57ms, time_process 3710.81ms, time_perf 3709.57ms, mfu 36.15%
iter 1310: loss 4.2190, time 3712.58ms, time_process 3713.85ms, time_perf 3712.58ms, mfu 36.16%
iter 1320: loss 4.2044, time 3711.92ms, time_process 3713.20ms, time_perf 3711.92ms, mfu 36.17%
iter 1330: loss 4.1831, time 3710.03ms, time_process 3711.45ms, time_perf 3710.03ms, mfu 36.19%
iter 1340: loss 3.9861, time 3712.33ms, time_process 3713.61ms, time_perf 3712.33ms, mfu 36.20%
iter 1350: loss 3.7655, time 3711.87ms, time_process 3713.13ms, time_perf 3711.87ms, mfu 36.20%
iter 1360: loss 4.1319, time 3711.90ms, time_process 3713.23ms, time_perf 3711.90ms, mfu 36.21%
iter 1370: loss 4.0058, time 3710.54ms, time_process 3711.70ms, time_perf 3710.54ms, mfu 36.22%
iter 1380: loss 3.9597, time 3710.10ms, time_process 3711.19ms, time_perf 3710.10ms, mfu 36.23%
iter 1390: loss 4.0532, time 3710.44ms, time_process 3711.78ms, time_perf 3710.44ms, mfu 36.23%
iter 1400: loss 3.8066, time 3711.66ms, time_process 3712.99ms, time_perf 3711.66ms, mfu 36.24%
iter 1410: loss 4.1154, time 3712.73ms, time_process 3713.91ms, time_perf 3712.73ms, mfu 36.24%
iter 1420: loss 4.1133, time 3711.24ms, time_process 3712.41ms, time_perf 3711.24ms, mfu 36.25%
iter 1430: loss 4.0238, time 3711.94ms, time_process 3713.30ms, time_perf 3711.94ms, mfu 36.25%
iter 1440: loss 4.0186, time 3711.56ms, time_process 3712.76ms, time_perf 3711.56ms, mfu 36.25%
iter 1450: loss 4.0146, time 3710.05ms, time_process 3711.28ms, time_perf 3710.05ms, mfu 36.26%
iter 1460: loss 3.8557, time 3712.83ms, time_process 3714.07ms, time_perf 3712.83ms, mfu 36.26%
iter 1470: loss 4.0254, time 3710.66ms, time_process 3711.92ms, time_perf 3710.66ms, mfu 36.26%
iter 1480: loss 4.0735, time 3713.72ms, time_process 3714.60ms, time_perf 3713.72ms, mfu 36.26%
iter 1490: loss 4.0725, time 3711.31ms, time_process 3712.29ms, time_perf 3711.31ms, mfu 36.26%
iter 1500: loss 3.9779, time 3712.47ms, time_process 3713.79ms, time_perf 3712.47ms, mfu 36.26%
iter 1510: loss 3.9993, time 3714.08ms, time_process 3715.30ms, time_perf 3714.08ms, mfu 36.26%
iter 1520: loss 4.1880, time 3713.18ms, time_process 3714.34ms, time_perf 3713.18ms, mfu 36.26%
iter 1530: loss 3.9071, time 3714.16ms, time_process 3715.51ms, time_perf 3714.16ms, mfu 36.26%
iter 1540: loss 3.9318, time 3712.56ms, time_process 3713.84ms, time_perf 3712.56ms, mfu 36.26%
iter 1550: loss 3.6943, time 3712.53ms, time_process 3713.82ms, time_perf 3712.53ms, mfu 36.26%
iter 1560: loss 4.0034, time 3710.74ms, time_process 3712.04ms, time_perf 3710.74ms, mfu 36.27%
iter 1570: loss 3.8047, time 3710.97ms, time_process 3712.42ms, time_perf 3710.97ms, mfu 36.27%
iter 1580: loss 3.9651, time 3712.81ms, time_process 3714.11ms, time_perf 3712.81ms, mfu 36.27%
iter 1590: loss 4.0406, time 3709.93ms, time_process 3711.18ms, time_perf 3709.93ms, mfu 36.27%
iter 1600: loss 3.8247, time 3711.65ms, time_process 3712.92ms, time_perf 3711.65ms, mfu 36.27%
iter 1610: loss 4.0138, time 3711.89ms, time_process 3713.06ms, time_perf 3711.89ms, mfu 36.27%
iter 1620: loss 4.0477, time 3711.46ms, time_process 3711.11ms, time_perf 3711.46ms, mfu 36.27%
iter 1630: loss 4.1076, time 3712.46ms, time_process 3713.63ms, time_perf 3712.46ms, mfu 36.27%
iter 1640: loss 4.0481, time 3712.62ms, time_process 3713.93ms, time_perf 3712.62ms, mfu 36.27%
iter 1650: loss 3.8923, time 3712.40ms, time_process 3713.58ms, time_perf 3712.40ms, mfu 36.27%
iter 1660: loss 3.8493, time 3712.54ms, time_process 3713.63ms, time_perf 3712.54ms, mfu 36.27%
iter 1670: loss 3.7847, time 3714.01ms, time_process 3715.23ms, time_perf 3714.01ms, mfu 36.27%
iter 1680: loss 3.8989, time 3715.50ms, time_process 3716.78ms, time_perf 3715.50ms, mfu 36.27%
iter 1690: loss 3.8506, time 3714.33ms, time_process 3715.57ms, time_perf 3714.33ms, mfu 36.27%
iter 1700: loss 3.7968, time 3713.70ms, time_process 3715.00ms, time_perf 3713.70ms, mfu 36.27%
